id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,input pressure,73,62,35,35,311,ship,baseline,monotonic-signal,raise-signal
m002,g002,state drift,98,64,43,79,463,ship,edge,drag-penalty,drop-slack
m003,g003,review cost,30,14,35,68,109,watch,recovery,confidence-floor,raise-drag
m004,g004,decision risk,44,21,43,49,101,watch,negative,lane-boundary,lower-confidence
m005,g005,input pressure,107,27,31,20,367,ship,baseline,monotonic-signal,raise-signal
m006,g006,state drift,41,56,26,90,326,ship,edge,drag-penalty,drop-slack
m007,g007,review cost,104,55,32,86,538,ship,recovery,confidence-floor,raise-drag
m008,g008,decision risk,51,51,5,76,433,ship,negative,lane-boundary,lower-confidence
m009,g009,input pressure,81,52,18,52,442,ship,baseline,monotonic-signal,raise-signal
m010,g010,state drift,42,44,5,81,393,ship,edge,drag-penalty,drop-slack
m011,g011,review cost,30,59,28,100,298,ship,recovery,confidence-floor,raise-drag
m012,g012,decision risk,116,28,30,15,400,ship,negative,lane-boundary,lower-confidence
m013,g013,input pressure,83,15,42,82,316,ship,baseline,monotonic-signal,raise-signal
m014,g014,state drift,101,0,44,28,240,ship,edge,drag-penalty,drop-slack
m015,g015,review cost,30,12,11,48,185,ship,recovery,confidence-floor,raise-drag
m016,g016,decision risk,86,15,28,50,334,ship,negative,lane-boundary,lower-confidence
m017,g017,input pressure,82,19,20,32,330,ship,baseline,monotonic-signal,raise-signal
m018,g018,state drift,70,47,39,64,307,ship,edge,drag-penalty,drop-slack
m019,g019,review cost,116,10,15,41,491,ship,recovery,confidence-floor,raise-drag
m020,g020,decision risk,55,24,15,21,235,ship,negative,lane-boundary,lower-confidence
m021,g021,input pressure,81,33,20,78,446,ship,baseline,monotonic-signal,raise-signal
m022,g022,state drift,84,29,24,67,408,ship,edge,drag-penalty,drop-slack
m023,g023,review cost,93,11,13,61,451,ship,recovery,confidence-floor,raise-drag
m024,g024,decision risk,101,34,20,92,556,ship,negative,lane-boundary,lower-confidence
m025,g025,input pressure,118,46,28,89,602,ship,baseline,monotonic-signal,raise-signal
m026,g026,state drift,116,11,13,85,591,ship,edge,drag-penalty,drop-slack
m027,g027,review cost,35,12,35,88,165,watch,recovery,confidence-floor,raise-drag
m028,g028,decision risk,42,10,16,38,184,ship,negative,lane-boundary,lower-confidence
m029,g029,input pressure,58,46,11,80,429,ship,baseline,monotonic-signal,raise-signal
m030,g030,state drift,100,56,10,99,660,ship,edge,drag-penalty,drop-slack
m031,g031,review cost,85,10,39,27,219,ship,recovery,confidence-floor,raise-drag
m032,g032,decision risk,105,19,45,68,369,ship,negative,lane-boundary,lower-confidence
m033,g033,input pressure,60,26,32,27,186,ship,baseline,monotonic-signal,raise-signal
m034,g034,state drift,71,21,6,47,390,ship,edge,drag-penalty,drop-slack
m035,g035,review cost,85,72,22,62,498,ship,recovery,confidence-floor,raise-drag
m036,g036,decision risk,51,60,27,18,225,ship,negative,lane-boundary,lower-confidence
m037,g037,input pressure,91,56,29,63,457,ship,baseline,monotonic-signal,raise-signal
m038,g038,state drift,57,46,31,40,245,ship,edge,drag-penalty,drop-slack
m039,g039,review cost,92,60,20,33,454,ship,recovery,confidence-floor,raise-drag
m040,g040,decision risk,113,64,5,64,683,ship,negative,lane-boundary,lower-confidence
m041,g041,input pressure,92,33,24,66,446,ship,baseline,monotonic-signal,raise-signal
m042,g042,state drift,71,9,35,60,247,ship,edge,drag-penalty,drop-slack
m043,g043,review cost,69,16,49,104,271,ship,recovery,confidence-floor,raise-drag
m044,g044,decision risk,115,17,5,75,619,ship,negative,lane-boundary,lower-confidence
m045,g045,input pressure,63,20,9,84,415,ship,baseline,monotonic-signal,raise-signal
m046,g046,state drift,71,13,33,87,319,ship,edge,drag-penalty,drop-slack
m047,g047,review cost,39,63,12,50,322,ship,recovery,confidence-floor,raise-drag
m048,g048,decision risk,114,15,13,66,553,ship,negative,lane-boundary,lower-confidence
m049,g049,input pressure,120,29,40,98,534,ship,baseline,monotonic-signal,raise-signal
m050,g050,state drift,69,27,13,26,317,ship,edge,drag-penalty,drop-slack
m051,g051,review cost,96,45,50,80,384,ship,recovery,confidence-floor,raise-drag
m052,g052,decision risk,113,16,38,13,320,ship,negative,lane-boundary,lower-confidence
m053,g053,input pressure,46,39,37,46,169,watch,baseline,monotonic-signal,raise-signal
m054,g054,state drift,46,40,17,61,301,ship,edge,drag-penalty,drop-slack
m055,g055,review cost,54,27,37,30,145,watch,recovery,confidence-floor,raise-drag
m056,g056,decision risk,62,17,17,49,295,ship,negative,lane-boundary,lower-confidence
m057,g057,input pressure,78,15,33,39,255,ship,baseline,monotonic-signal,raise-signal
m058,g058,state drift,76,40,42,32,238,ship,edge,drag-penalty,drop-slack
m059,g059,review cost,83,72,19,76,533,ship,recovery,confidence-floor,raise-drag
m060,g060,decision risk,90,15,14,52,424,ship,negative,lane-boundary,lower-confidence
m061,g061,input pressure,62,24,16,59,334,ship,baseline,monotonic-signal,raise-signal
m062,g062,state drift,38,20,40,103,198,ship,edge,drag-penalty,drop-slack
m063,g063,review cost,58,37,39,87,285,ship,recovery,confidence-floor,raise-drag
m064,g064,decision risk,92,77,9,70,617,ship,negative,lane-boundary,lower-confidence
m065,g065,input pressure,121,65,20,86,686,ship,baseline,monotonic-signal,raise-signal
m066,g066,state drift,38,50,27,49,215,ship,edge,drag-penalty,drop-slack
m067,g067,review cost,92,62,39,78,453,ship,recovery,confidence-floor,raise-drag
m068,g068,decision risk,35,65,36,84,258,ship,negative,lane-boundary,lower-confidence
m069,g069,input pressure,107,69,18,25,526,ship,baseline,monotonic-signal,raise-signal
m070,g070,state drift,45,27,32,79,232,ship,edge,drag-penalty,drop-slack
m071,g071,review cost,66,25,47,25,129,watch,recovery,confidence-floor,raise-drag
